 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Test Fixture Nails     377/377  Selected Drills           01-January-2012 05:54
                        377 Nails,  1318 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$58      151.050    74.290   3  A1   (B)  #1132 TP_JTAG_CUMULUS_M_TCK T PIN TB_TP35.1
$59      149.765    74.325   3  A1   (B)  #875  SPI2_GRAPE_SCLK  T PIN TB_TP123.1
$60      146.420    71.900   1  A1   (B)  #833  CLK_32K_SOC2CUMULUS T PIN TB_TP157.1
$61      148.160    73.960   3  A1   (B)  #794  JTAG_CUMULUS_M_TMS T PIN TB_TP40.1
$62      148.300    75.225   3  A1   (B)  #878  SPI2_GRAPE_CS_L  T PIN TB_TP126.1
$63      149.525    75.591   3  A1   (B)  #1134 TP_JTAG_CUMULUS_M_TDO T PIN TB_TP33.1
$64      150.270    76.640   3  A1   (B)  #793  CUMULUS_M_BCFG_RTCK T PIN TB_TP65.1
$65      150.090    78.380   4  A1   (B)  #1144 TP_CUMULUS_S_H_CS_L T PIN TB_TP39.1
$66      148.290    78.030   3  A1   (B)  #267  PP1V8_GRAPE_SW   T PIN TB_TP199.1
$67      147.585    76.870   3  A1   (B)  #902  DISPLAY_SYNC     T PIN TB_TP154.1
$68      146.960    78.435   3  A1   (B)  #882  GPIO_GRAPE2SOC_IRQ_L T PIN TB_TP222.1
$69      141.960    79.210   1  A1   (B)  #408  GPIO_BTN_HOME_L  T PIN TB_TP257.1
$70      139.450    77.070   3  A1   (B)  #1    PP1V8_EXT_SW     T PIN TB_TP145.1
$71      139.120    78.420   3  B1   (B)  #30   PPVREF_FMI_NAND  T PIN TB_TP243.1
$72      137.805    70.460   3  B1   (B)  #938  USB_SOC_P        T PIN TB_TP248.1
$73      133.890    77.480   3  B1   (B)  #970  FMI0_AD_7_       T PIN TB_TP362.1
$74      132.580    77.050   3  B1   (B)  #665  FMI0_DQS         T PIN TB_TP279.1
$75      132.370    75.790   3  B1   (B)  #969  FMI0_AD_6_       T PIN TB_TP363.1
$76      133.285    74.889   3  B1   (B)  #973  FMI0_AD_5_       T PIN TB_TP364.1
$77      132.890    73.660   3  B1   (B)  #949  FMI0_AD_4_       T PIN TB_TP365.1
$78      130.420    74.210   1  B1   (B)  #972  FMI0_AD_3_       T PIN TB_TP366.1
$79      130.890    75.900   3  B1   (B)  #940  FMI0_AD_2_       T PIN TB_TP367.1
$80      129.890    76.880   3  B1   (B)  #819  FMI0_AD_1_       T PIN TB_TP368.1
$81      130.900    78.480   1  B1   (B)  #664  FMI0_AD_0_       T PIN TB_TP285.1
$82      128.250    77.910   1  B1   (B)  #989  FMI1_AD_0_       T PIN TB_TP280.1
$83      129.000    80.480   1  B1   (B)  #948  FMI0_ALE         T PIN TB_TP284.1
$84      130.890    80.500   3  B1   (B)  #818  FMI0_WE_L        T PIN TB_TP281.1
$85      132.465    80.435   2  B1   (B)  #692  FMI0_CE0_L       T PIN TB_TP361.1
$86      134.380    80.490   2  B1   (B)  #950  FMI0_RE_L        T PIN TB_TP282.1
$87      130.570    85.840   1  B1   (B)  #939  FMI0_CLE         T PIN TB_TP283.1
$88      124.560    85.805   1  B1   (B)  #343  BOARD_TEMP5_P    T PIN TB_TP287.1
$89      123.330    79.260   2  B1   (B)  #13   PP1V2_S2R        T PIN TB_TP316.1
$90      122.020    74.280   1  B1   (B)  #6    PP3V3_SW         T PIN TB_TP130.1
$91      113.310    71.300   3  B1   (B)  #670  JTAG_SOC_TDI     T PIN TB_TP176.1
$92      112.300    71.310   4  B1   (B)  #712  JTAG_SOC_SEL     T PIN TB_TP209.1
$93      107.710    72.230   1  B1   (B)  #719  JTAG_SOC_TRST_L  T PIN TB_TP30.1
$94      105.020    70.980   1  B1   (B)  #10   PPVREF_FMI_SOC   T PIN TB_TP237.1
$95      105.840    77.540   1  B1   (B)  #4    PP1V2_SW1        T PIN TB_TP184.1
$95      124.050    77.690   2  B1   (B)  #4    PP1V2_SW1        T PIN TB_TP185.1
$96       99.140    71.490   3  C1   (B)  #1038 HSIC1_WLAN2SOC_REMOTE_WAKE T PIN TB_TP128.1
$97       95.270    70.450   3  C1   (B)  #569  MIPI1C_CAM_FRONT_CLK_N   PIN PP9471.1
$98       94.380    70.590   3  C1   (B)  #574  MIPI0C_CAM_REAR_DATA_P_0_   PIN PP9476.1
$99       93.670    70.570   3  C1   (B)  #575  MIPI0C_CAM_REAR_DATA_N_0_   PIN PP9477.1
$100      92.250    72.160   3  C1   (B)  #347  BOARD_TEMP7_P    T PIN TB_TP239.1
$101      92.665    73.365   3  C1   (B)  #832  OSCAR_TIME_SYNC_HOST_INT T PIN TB_TP208.1
