 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Board Outline Contour             Metric units               01-January-2012 05:54

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   -2.553      49.385       0.000
   -2.549      49.411       0.000
   -2.544      49.436       0.000
   -2.540      49.461       0.000
   -2.536      49.487       0.000
   -2.533      49.512       0.000
   -2.530      49.537       0.000
   -2.527      49.563       0.000
   -2.525      49.588       0.000
   -2.523      49.614       0.000
   -2.522      49.640       0.000
   -2.521      49.665       0.000
   -2.521      49.691       0.000
   -2.521      49.708       0.000
   -2.521      50.885       0.000
   -2.518      50.955       0.000
   -2.511      51.024       0.000
   -2.499      51.093       0.000
   -2.482      51.161       0.000
   -2.460      51.227       0.000
   -2.434      51.292       0.000
   -2.404      51.355       0.000
   -2.369      51.415       0.000
   -2.330      51.473       0.000
   -2.287      51.528       0.000
   -2.240      51.580       0.000
   -2.190      51.628       0.000
   -2.136      51.673       0.000
   -2.080      51.714       0.000
   -2.021      51.751       0.000
   -1.959      51.784       0.000
   -1.929      51.798       0.000
   -1.866      51.829       0.000
   -1.806      51.864       0.000
   -1.748      51.903       0.000
   -1.693      51.946       0.000
   -1.641      51.993       0.000
   -1.593      52.044       0.000
   -1.548      52.097       0.000
   -1.507      52.154       0.000
   -1.470      52.213       0.000
   -1.438      52.274       0.000
   -1.409      52.338       0.000
   -1.386      52.404       0.000
   -1.367      52.471       0.000
   -1.352      52.539       0.000
   -1.343      52.608       0.000
   -1.338      52.678       0.000
   -1.337      52.711       0.000
   -1.337      56.511       0.000
   -1.340      56.581       0.000
   -1.347      56.650       0.000
   -1.359      56.719       0.000
   -1.376      56.787       0.000
   -1.398      56.853       0.000
   -1.424      56.918       0.000
   -1.454      56.981       0.000
   -1.489      57.041       0.000
   -1.528      57.099       0.000
   -1.571      57.154       0.000
   -1.618      57.206       0.000
   -1.630      57.218       0.000
   -3.273      58.861       0.000
   -3.321      58.913       0.000
   -3.365      58.967       0.000
   -3.405      59.024       0.000
   -3.441      59.084       0.000
   -3.472      59.146       0.000
   -3.500      59.210       0.000
   -3.522      59.276       0.000
   -3.541      59.344       0.000
   -3.554      59.412       0.000
   -3.562      59.481       0.000
   -3.566      59.551       0.000
   -3.566      59.569       0.000
