 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Board Outline Contour             Metric units               01-January-2012 05:54

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   60.370      61.864       0.000
   60.355      61.881       0.000
   60.339      61.899       0.000
   60.324      61.916       0.000
   60.308      61.933       0.000
   60.292      61.950       0.000
   60.277      61.967       0.000
   60.260      61.984       0.000
   60.244      62.000       0.000
   60.228      62.017       0.000
   60.211      62.033       0.000
   60.195      62.049       0.000
   60.178      62.065       0.000
   60.161      62.081       0.000
   60.144      62.097       0.000
   60.127      62.112       0.000
   60.109      62.128       0.000
   60.092      62.143       0.000
   60.074      62.158       0.000
   60.056      62.173       0.000
   60.038      62.188       0.000
   60.020      62.202       0.000
   60.002      62.217       0.000
   59.984      62.231       0.000
   59.965      62.245       0.000
   59.947      62.259       0.000
   59.928      62.273       0.000
   59.909      62.286       0.000
   59.890      62.300       0.000
   59.871      62.313       0.000
   59.852      62.326       0.000
   59.833      62.339       0.000
   59.813      62.351       0.000
   59.794      62.364       0.000
   59.774      62.376       0.000
   59.755      62.388       0.000
   59.734      62.400       0.000
   59.715      62.412       0.000
   59.695      62.424       0.000
   59.674      62.435       0.000
   59.654      62.446       0.000
   59.634      62.457       0.000
   59.613      62.468       0.000
   59.592      62.479       0.000
   59.572      62.490       0.000
   59.551      62.500       0.000
   59.530      62.510       0.000
   59.509      62.520       0.000
   59.488      62.529       0.000
   59.467      62.539       0.000
   59.446      62.549       0.000
   59.424      62.558       0.000
   59.403      62.567       0.000
   59.381      62.575       0.000
   59.360      62.584       0.000
   59.338      62.592       0.000
   59.317      62.601       0.000
   59.295      62.608       0.000
   59.273      62.616       0.000
   59.251      62.624       0.000
   59.229      62.631       0.000
   59.207      62.638       0.000
   59.185      62.645       0.000
   59.163      62.652       0.000
   59.140      62.659       0.000
   59.118      62.665       0.000
   59.096      62.671       0.000
   59.073      62.677       0.000
   59.051      62.683       0.000
   59.028      62.688       0.000
   59.006      62.694       0.000
   58.983      62.699       0.000
   58.961      62.704       0.000
   58.938      62.709       0.000
   58.915      62.713       0.000
   58.892      62.718       0.000
   58.869      62.722       0.000
   58.846      62.726       0.000
   58.824      62.729       0.000
   58.800      62.733       0.000
   58.778      62.736       0.000
   58.755      62.739       0.000
   58.732      62.742       0.000
   58.709      62.745       0.000
   58.685      62.747       0.000
   58.662      62.749       0.000
   58.639      62.751       0.000
   58.616      62.753       0.000
   58.593      62.755       0.000
   58.570      62.756       0.000
   58.547      62.757       0.000
   58.523      62.758       0.000
   58.500      62.759       0.000
   58.477      62.760       0.000
   58.454      62.760       0.000
   58.431      62.760       0.000
   58.408      62.760       0.000
   58.384      62.760       0.000
   58.361      62.759       0.000
   58.338      62.759       0.000
   58.315      62.758       0.000
   58.292      62.757       0.000
   58.269      62.755       0.000
   58.246      62.753       0.000
   58.222      62.752       0.000
   58.199      62.750       0.000
   58.176      62.748       0.000
   58.153      62.745       0.000
   58.130      62.743       0.000
   58.107      62.740       0.000
   58.084      62.737       0.000
   58.061      62.733       0.000
   58.038      62.730       0.000
   58.015      62.726       0.000
   57.992      62.723       0.000
   57.969      62.718       0.000
   57.947      62.714       0.000
   57.924      62.710       0.000
   57.901      62.705       0.000
   57.878      62.700       0.000
   57.856      62.695       0.000
   57.833      62.689       0.000
   57.811      62.684       0.000
   57.788      62.678       0.000
   57.766      62.672       0.000
   57.743      62.666       0.000
   57.721      62.660       0.000
   57.699      62.653       0.000
   57.677      62.647       0.000
   57.654      62.640       0.000
   57.632      62.633       0.000
   57.611      62.625       0.000
   57.588      62.618       0.000
   57.567      62.610       0.000
   57.545      62.602       0.000
   57.523      62.594       0.000
   57.502      62.585       0.000
   57.480      62.577       0.000
   57.458      62.568       0.000
   57.437      62.559       0.000
   57.416      62.550       0.000
   57.394      62.541       0.000
   57.373      62.531       0.000
   57.352      62.522       0.000
   57.331      62.512       0.000
   57.310      62.502       0.000
   57.289      62.491       0.000
   57.269      62.481       0.000
   57.248      62.470       0.000
   57.227      62.459       0.000
   57.207      62.448       0.000
   57.187      62.437       0.000
   57.167      62.426       0.000
   57.146      62.414       0.000
   57.127      62.402       0.000
   57.107      62.391       0.000
   57.087      62.378       0.000
   57.067      62.366       0.000
   57.048      62.354       0.000
   57.028      62.341       0.000
   57.009      62.328       0.000
   56.990      62.315       0.000
   56.970      62.302       0.000
   56.952      62.288       0.000
   56.933      62.275       0.000
   56.914      62.261       0.000
   56.895      62.248       0.000
   56.877      62.233       0.000
   56.859      62.219       0.000
   56.840      62.205       0.000
   56.822      62.190       0.000
   56.804      62.176       0.000
   56.787      62.161       0.000
   56.769      62.146       0.000
   56.751      62.130       0.000
   56.734      62.115       0.000
   56.717      62.100       0.000
   56.699      62.084       0.000
   56.682      62.068       0.000
   56.666      62.052       0.000
   56.649      62.036       0.000
   56.632      62.020       0.000
   56.616      62.003       0.000
   56.600      61.987       0.000
   56.584      61.970       0.000
   56.568      61.953       0.000
   56.552      61.936       0.000
   56.536      61.919       0.000
   56.521      61.902       0.000
   56.506      61.884       0.000
   56.490      61.867       0.000
   56.475      61.849       0.000
   56.461      61.831       0.000
   56.446      61.813       0.000
   56.431      61.795       0.000
   56.417      61.777       0.000
   56.403      61.759       0.000
   56.389      61.740       0.000
   56.375      61.721       0.000
   56.361      61.703       0.000
   56.348      61.684       0.000
   56.335      61.665       0.000
   56.321      61.646       0.000
   56.308      61.626       0.000
   56.296      61.607       0.000
   56.283      61.588       0.000
   56.271      61.568       0.000
   56.258      61.548       0.000
   56.246      61.528       0.000
   56.234      61.509       0.000
   56.223      61.489       0.000
   56.211      61.469       0.000
   56.200      61.448       0.000
   56.189      61.428       0.000
   56.186      61.424       0.000
   56.165      61.388       0.000
   56.141      61.354       0.000
   56.115      61.321       0.000
   56.087      61.290       0.000
   56.057      61.261       0.000
   56.024      61.235       0.000
   55.990      61.210       0.000
   55.954      61.188       0.000
   55.917      61.169       0.000
   55.879      61.152       0.000
   55.840      61.138       0.000
   55.799      61.127       0.000
   55.758      61.119       0.000
   55.717      61.113       0.000
   55.675      61.111       0.000
   55.659      61.110       0.000
   52.271      61.110       0.000
   52.230      61.109       0.000
   52.188      61.104       0.000
   52.147      61.097       0.000
   52.106      61.087       0.000
   52.066      61.074       0.000
   52.027      61.058       0.000
   51.990      61.040       0.000
   51.953      61.019       0.000
   51.919      60.996       0.000
   51.886      60.970       0.000
   51.855      60.942       0.000
   51.825      60.911       0.000
   51.798      60.879       0.000
   51.774      60.845       0.000
   51.752      60.810       0.000
   51.732      60.773       0.000
   51.732      60.773       0.000
   51.699      60.711       0.000
   51.662      60.652       0.000
   51.621      60.595       0.000
   51.576      60.542       0.000
   51.528      60.492       0.000
   51.476      60.445       0.000
   51.421      60.402       0.000
   51.363      60.363       0.000
   51.303      60.328       0.000
   51.240      60.297       0.000
   51.175      60.271       0.000
   51.109      60.249       0.000
   51.042      60.232       0.000
   50.973      60.220       0.000
   50.903      60.213       0.000
   50.834      60.210       0.000
   50.833      60.210       0.000
    6.761      60.210       0.000
    6.692      60.207       0.000
    6.622      60.200       0.000
    6.553      60.188       0.000
    6.486      60.171       0.000
    6.419      60.150       0.000
    6.355      60.124       0.000
    6.292      60.093       0.000
    6.232      60.058       0.000
    6.174      60.019       0.000
    6.119      59.976       0.000
    6.067      59.929       0.000
    6.054      59.917       0.000
    4.095      57.958       0.000
    4.048      57.907       0.000
    4.004      57.853       0.000
    3.964      57.796       0.000
    3.928      57.736       0.000
    3.897      57.674       0.000
    3.869      57.610       0.000
    3.847      57.544       0.000
    3.829      57.476       0.000
    3.815      57.408       0.000
    3.807      57.338       0.000
    3.803      57.269       0.000
    3.803      57.252       0.000
    3.803      44.708       0.000
    3.800      44.638       0.000
    3.793      44.569       0.000
    3.781      44.500       0.000
    3.764      44.432       0.000
    3.742      44.366       0.000
    3.716      44.301       0.000
    3.686      44.238       0.000
    3.651      44.178       0.000
    3.612      44.120       0.000
    3.569      44.065       0.000
    3.522      44.013       0.000
    3.472      43.965       0.000
    3.418      43.920       0.000
    3.362      43.879       0.000
    3.303      43.842       0.000
    3.241      43.809       0.000
    3.177      43.780       0.000
    3.112      43.757       0.000
    3.044      43.738       0.000
    3.015      43.730       0.000
    2.948      43.713       0.000
    2.882      43.691       0.000
    2.817      43.665       0.000
    2.755      43.634       0.000
    2.694      43.599       0.000
    2.637      43.559       0.000
    2.582      43.516       0.000
    2.530      43.469       0.000
    2.482      43.419       0.000
    2.437      43.365       0.000
    2.397      43.309       0.000
    2.360      43.249       0.000
    2.327      43.187       0.000
    2.299      43.123       0.000
    2.276      43.058       0.000
    2.257      42.991       0.000
    2.243      42.922       0.000
    2.233      42.853       0.000
    2.229      42.784       0.000
    2.228      42.753       0.000
    2.228      -0.450       0.000
    2.226      -0.520       0.000
    2.218      -0.589       0.000
    2.206      -0.658       0.000
    2.189      -0.725       0.000
    2.168      -0.792       0.000
    2.142      -0.856       0.000
    2.111      -0.919       0.000
    2.076      -0.980       0.000
    2.037      -1.038       0.000
    1.994      -1.093       0.000
    1.947      -1.145       0.000
    1.897      -1.193       0.000
    1.844      -1.238       0.000
    1.787      -1.279       0.000
    1.728      -1.316       0.000
    1.666      -1.349       0.000
    1.603      -1.377       0.000
    1.537      -1.401       0.000
    1.470      -1.420       0.000
    1.402      -1.435       0.000
    1.333      -1.444       0.000
    1.263      -1.449       0.000
    1.228      -1.450       0.000
   -2.572      -1.450       0.000
   -2.641      -1.447       0.000
   -2.711      -1.440       0.000
   -2.780      -1.428       0.000
   -2.847      -1.411       0.000
   -2.914      -1.390       0.000
   -2.978      -1.363       0.000
   -3.041      -1.333       0.000
   -3.101      -1.298       0.000
   -3.159      -1.259       0.000
   -3.214      -1.216       0.000
   -3.266      -1.169       0.000
   -3.315      -1.119       0.000
   -3.359      -1.066       0.000
   -3.401      -1.009       0.000
   -3.438      -0.950       0.000
   -3.470      -0.888       0.000
   -3.499      -0.824       0.000
   -3.522      -0.759       0.000
   -3.542      -0.692       0.000
   -3.556      -0.624       0.000
   -3.566      -0.554       0.000
   -3.571      -0.485       0.000
   -3.572      -0.450       0.000
   -3.572       4.964       0.000
   -3.571       4.988       0.000
   -3.571       5.012       0.000
   -3.570       5.036       0.000
   -3.569       5.060       0.000
   -3.568       5.084       0.000
   -3.566       5.108       0.000
   -3.564       5.132       0.000
   -3.562       5.156       0.000
   -3.560       5.180       0.000
   -3.557       5.204       0.000
   -3.554       5.228       0.000
   -3.551       5.251       0.000
   -3.547       5.275       0.000
   -3.543       5.299       0.000
   -3.539       5.323       0.000
   -3.535       5.346       0.000
   -3.530       5.370       0.000
   -3.525       5.393       0.000
   -3.520       5.417       0.000
   -3.514       5.440       0.000
   -3.508       5.463       0.000
   -3.502       5.486       0.000
   -3.496       5.510       0.000
   -3.489       5.533       0.000
   -3.482       5.556       0.000
   -3.475       5.579       0.000
   -3.467       5.601       0.000
   -3.460       5.624       0.000
   -3.452       5.647       0.000
   -3.443       5.669       0.000
   -3.435       5.692       0.000
   -3.426       5.714       0.000
   -3.417       5.736       0.000
   -3.407       5.758       0.000
   -3.398       5.780       0.000
   -3.388       5.802       0.000
