 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa
C1430         85.881    -7.463  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1431         86.855    -8.353   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1432         86.005    -8.353   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1433         86.855   -12.530   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1434         86.005   -13.880   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1435         86.005    -9.703   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1436         86.005   -12.530   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1437         86.855    -9.703   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1438         86.855   -13.880   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1441        114.710   -12.045   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1442        113.860   -10.695   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1443        114.710   -10.695   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1444        113.860   -12.045   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1445         86.857    -2.843  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1446        114.262    -2.659  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1447        115.112    -2.659  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1448         86.007    -2.843  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C144A        114.262    -1.309  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1449         85.944    -1.487   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1450        107.072   -21.700  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1451        114.264     0.046   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1452        107.922   -21.700  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1453        115.118     0.739   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1458        110.759   -23.278  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1459        110.278   -23.276  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1461         98.035   -20.832   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1463        109.622   -21.700  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1470        114.265     1.402   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1471        115.117    -0.616  270.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1474         97.171   -20.832   90.0  AA   (T)  'CAP-0402-1P15XP65-4SM-HP65-D2X', 'CAP-0402-1P15XP65-4SM-HP65-D2X'
C1478        114.465     3.947   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1479        113.949     3.941   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C148E         97.395   -21.962  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1493         83.294    -5.400  270.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C1496        103.609   -23.342  180.0  AA   (T)  'CAP-NFM15-1P1XP7-4SM-HP5', 'CAP-NFM15-1P1XP7-4SM-HP5'
C14A1         83.836    -5.400  270.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C14GA        113.677    -4.364  270.0  AA   (T)  'CAP-01005', 'CAP-01005'
C14GB        113.677    -3.674   90.0  AA   (T)  'CAP-01005', 'CAP-01005'
C14GC        101.414   -23.342  180.0  AA   (T)  'CAP-NFM15-1P1XP7-4SM-HP5', 'CAP-NFM15-1P1XP7-4SM-HP5'
C14GD        100.491   -23.418  270.0  AA   (T)  'CAP-01005', 'CAP-01005'
C1800         83.498   -22.966   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1801         82.377   -23.014    0.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1802         80.967   -23.014  180.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1803         85.918   -22.966   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1804         74.443   -23.016  180.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1805         78.147   -23.014  180.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1806         79.557   -23.014  180.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1807         73.021   -23.016    0.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1808         84.318   -22.966   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1809         85.118   -22.966   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1814         75.491   -23.091  270.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1815         76.075   -23.088  270.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1816         76.582   -23.088  270.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1817         77.101   -23.088  270.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1818         87.557   -23.196   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C181A         86.577   -23.196   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1819         87.068   -23.196   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1820         70.533   -14.794  180.0  AA   (T)  'CAP-0201-P69XP39-HP55', 'CAP-0201-P69XP39-HP55'
C1821         70.533   -14.284  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1822         71.659   -23.091  270.0  AA   (T)  'CAP-0201-P69XP39-HP55', 'CAP-0201-P69XP39-HP55'
C1823         71.119   -23.091  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1825         70.533   -18.763    0.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C1826         69.580   -18.750  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1830         83.788   -20.246    0.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1831         83.803   -19.431    0.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1832         83.722    -8.155    0.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1833         83.395   -14.723  270.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1834         84.417   -21.391  270.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1835         70.513   -16.426  180.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1836         83.543    -8.835    0.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1838         83.867   -18.518   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C183A         83.373   -18.540   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1839         84.352   -18.542   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1840         83.805   -17.564    0.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1841         83.805   -16.714    0.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1842         83.805   -15.864  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1843         83.798   -13.581    0.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1844         83.794   -12.728    0.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1845         83.560   -10.553   90.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1846         70.570   -13.292   90.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1847         70.540    -9.918  270.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1848         70.572   -11.860  270.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C184A         70.586    -4.323   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1849         70.234   -19.461  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1850         70.234   -20.312  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1851         70.540    -8.498   90.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1855         83.842   -11.534    0.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1856         83.835   -12.051    0.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1857         70.533   -10.893  180.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1858         69.611    -4.313   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1859         70.100    -4.320   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1880         83.338   -21.061  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C1881         83.339   -21.433  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C1899         84.141   -14.564    0.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C1900         63.916   -20.978  270.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1901         63.115   -20.978  270.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1902         62.316   -20.978  270.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1903         60.521    -4.713   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1904         62.124    -4.713   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1905         65.524    -4.713   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1906         61.324    -4.713   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1907         64.715   -20.978  270.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1908         63.924    -4.713   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1909         64.724    -4.713   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1914         61.651   -20.728  270.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1915         61.130   -20.721  270.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1916         63.274    -4.943   90.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1917         62.774    -4.943   90.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1918         60.160   -20.721  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C191A         59.680   -20.721  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1919         60.640   -20.721  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1920         55.693   -13.108  180.0  AA   (T)  'CAP-0201-P69XP39-HP55', 'CAP-0201-P69XP39-HP55'
C1921         55.693   -13.623  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1922         58.521   -21.007  180.0  AA   (T)  'CAP-0201-P69XP39-HP55', 'CAP-0201-P69XP39-HP55'
C1923         58.524   -20.486  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1925         55.600   -14.795    0.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C1926         55.600   -15.379    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1930         56.576   -12.705  270.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1931         56.577   -11.290   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1932         59.233    -4.947    0.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1933         69.927    -5.507   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1934         69.591   -15.373   90.0  AA   (T)  'CAP-0402-HP65', 'CAP-0402-HP65'
C1935         69.535   -16.346    0.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1936         56.536   -16.278  180.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1938         56.575   -14.752  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C193A         56.579   -15.773  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1939         56.567   -15.261  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1940         69.575    -8.440   90.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1941         69.600   -13.945  270.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1942         56.327    -5.595  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1943         56.327    -8.145  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1944         56.327    -7.295  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1945         56.327    -6.445  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1946         56.327    -8.995  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1947         69.587   -12.522   90.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1948         69.613   -10.357  270.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C194A         57.549    -4.956   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1949         57.264   -20.648  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1950         56.318   -18.308  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1951         56.318   -17.458  180.0  AA   (T)  'CAP-0402-HP7', 'CAP-0402-HP7'
C1955         56.548   -16.783  180.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1956         69.601    -9.399    0.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1957         56.522    -9.693  180.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C1958         56.802    -4.926  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1959         58.030    -4.954   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C1980         69.575   -17.392  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C1981         69.575   -17.782  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C1999         69.645   -11.250    0.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C200_S       117.301   -22.364  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C201_S       118.903   -23.210  270.0  AA   (T)  'CAP-01005', 'CAP-01005'
C201_W        42.542   -23.738   90.0  AA   (T)  'CAP-01005', 'CAP-01005'
C202_S       117.688   -21.252  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C202_W        43.332   -23.207    0.0  AA   (T)  'CAP-01005', 'CAP-01005'
C203_S       118.335   -21.711    0.0  AA   (T)  'CAP-01005', 'CAP-01005'
C207_S       118.873   -21.527   90.0  AA   (T)  'CAP-01005', 'CAP-01005'
C208_S       117.154   -22.741  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C209_S       121.626   -19.847    0.0  AA   (T)  'CAP-01005', 'CAP-01005'
C2100        133.871     0.667  180.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C2101        133.871     1.052  180.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C2103        138.254     0.916  270.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C2104        138.305     1.779   90.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C2105        136.323     0.257  180.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C2106        137.150     0.300  180.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C210_S       118.905   -20.349   90.0  AA   (T)  'CAP-01005', 'CAP-01005'
C211_S       122.781   -22.182    0.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C211_W        43.897   -24.144   90.0  AA   (T)  'CAP-01005', 'CAP-01005'
C2120         60.767   -22.064  270.0  AA   (T)  'CAP-01005', 'CAP-01005'
C2125         61.203   -22.156  270.0  AA   (T)  'CAP-0201-HP35', 'CAP-0201-HP35'
C2126         57.588   -22.053  270.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C212_S       122.780   -22.738    0.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C212_W        44.400   -23.207  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C213_S       122.678   -23.202    0.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C214_S       117.129   -21.804  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2151         59.078     4.296   90.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2152         59.542     4.198   90.0  AA   (T)  'CAP-01005', 'CAP-01005'
C2153         59.922     4.196   90.0  AA   (T)  'CAP-01005', 'CAP-01005'
C215_S       117.680   -20.706  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C217_S       118.621   -22.168  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2201        191.879   -23.044  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2202        193.789   -23.035  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2203        186.797   -19.318  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2204        191.387   -23.044  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2205        186.813   -15.834  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2206        190.441   -22.957  180.0  AA   (T)  'CAP-0402-HP55', 'CAP-0402-HP55'
C2207        196.014   -14.275    0.0  AA   (T)  'CAP-0402-HP55', 'CAP-0402-HP55'
C2208        195.802   -18.703    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C220A        203.853   -17.421  180.0  AA   (T)  'CAP-0402-1P2XP7-HP7-0P1MM', 'CAP-0402-1P2XP7-HP7-0P1MM'
C2209        193.449   -14.764  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2210        194.404   -14.760    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2216        196.850   -16.250    0.0  AA   (T)  'RES-01005-P42XP22-HP22', 'RES-01005-P42XP22-HP22'
C2217        195.564   -21.009  270.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C2218        197.027   -19.174    0.0  AA   (T)  'CAP-0402-HP55', 'CAP-0402-HP55'
C2219        195.814   -19.191    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2221        189.440   -22.998  270.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2222        186.809   -16.850  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2223        186.649   -14.493  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2224        195.773   -16.099    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2225        195.773   -17.059    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2227        195.843   -19.892    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2228        195.818   -20.400    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C222_S       122.661   -23.578    0.0  AA   (T)  'CAP-01005', 'CAP-01005'
C2229        192.830   -22.970  180.0  AA   (T)  'CAP-0402-HP55', 'CAP-0402-HP55'
C2231        194.293   -23.023  270.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2232        187.738   -14.612    0.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2233        186.797   -18.797  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2234        186.649   -15.049  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2235        188.289   -22.994  270.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2236        186.797   -19.990  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2237        186.797   -20.498  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2238        195.773   -16.579    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2239        195.773   -15.619    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2248        195.838   -22.092    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2249        195.838   -21.605    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C226_W        47.034   -14.995  180.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C2278        186.813   -16.338  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2279        190.096   -14.503   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2280        199.342   -15.342  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C2281        196.019   -18.084    0.0  AA   (T)  'CAP-0402-HP55', 'CAP-0402-HP55'
C2282        201.189   -14.033   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2283        202.294   -20.806    0.0  AA   (T)  'CAP-0402-1P2XP7-HP55', 'CAP-0402-1P2XP7-HP55'
C2284        201.680   -14.120   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2288        199.345   -15.719  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C228_W        46.686   -24.305  180.0  AA   (T)  'CAP-01005', 'CAP-01005'
C2289        203.864   -18.278  180.0  AA   (T)  'CAP-0402-1P2XP7-HP7-0P1MM', 'CAP-0402-1P2XP7-HP7-0P1MM'
C2290        200.600   -12.350   90.0  AA   (T)  'CAP-0402-1P2XP7-HP7-0P1MM', 'CAP-0402-1P2XP7-HP7-0P1MM'
C2291        203.853   -16.560  180.0  AA   (T)  'CAP-0402-1P2XP7-HP7-0P1MM', 'CAP-0402-1P2XP7-HP7-0P1MM'
C2292        203.640   -15.490    0.0  AA   (T)  'CAP-0603-H1P0', 'CAP-0603-H1P0'
C2293        203.652   -13.170    0.0  AA   (T)  'CAP-0603-H1P0', 'CAP-0603-H1P0'
C2294        203.640   -14.330    0.0  AA   (T)  'CAP-0603-H1P0', 'CAP-0603-H1P0'
C2295        203.640   -12.010    0.0  AA   (T)  'CAP-0603-H1P0', 'CAP-0603-H1P0'
C2298        203.760   -20.826    0.0  AA   (T)  'CAP-0201-P63XP33-HP33', 'CAP-0201-P63XP33-HP33'
C22A1        205.050   -19.825   90.0  AA   (T)  'CAP-01005', 'CAP-01005'
C22A2        205.200   -18.750   90.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C22A3        200.447   -16.544  180.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C22A4        203.853   -19.132  180.0  AA   (T)  'CAP-0402-1P2XP7-HP7-0P1MM', 'CAP-0402-1P2XP7-HP7-0P1MM'
C2299        202.190   -14.630   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2301        195.842   -11.267    0.0  AA   (T)  'CAP-01005-P42XP22-HP22', 'CAP-01005-P42XP22-HP22'
C2302        193.018   -14.039    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2303        186.606    -7.424  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2304        195.919   -11.697    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2305        186.593    -9.900  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2306        186.593   -10.382  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2307        186.580    -6.434   90.0  AA   (T)  'CAP-0402-HP55', 'CAP-0402-HP55'
C2308        190.512    -5.249   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C230_W        37.084   -19.035   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2309        190.999    -5.253   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2310        188.969    -5.278   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2311        195.926   -12.757    0.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2312        195.932   -13.297    0.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2313        186.606    -8.611  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2314        192.624    -5.250   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2315        195.969    -7.547    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2316        195.956    -8.042    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2317        195.926   -12.217    0.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2318        186.550   -13.516   90.0  AA   (T)  'CAP-0402-HP55', 'CAP-0402-HP55'
C231_W        37.294   -21.090   90.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2320        186.645   -12.570  180.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2321        195.929    -8.932    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2322        195.932    -9.421    0.0  AA   (T)  'CAP-0201', 'CAP-0201'
C2325        193.602    -5.224    0.0  AA   (T)  'CAP-0402-HP55', 'CAP-0402-HP55'
C232_W        48.915   -23.796  270.0  AA   (T)  'CAP-0402-1P15XP65-HP65-0P1MM', 'CAP-0402-1P15XP65-HP65-0P1MM'
C2333        189.482    -5.272   90.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
C2334        186.599   -10.916  180.0  AA   (T)  'CAP-0201-P69XP39-HP39', 'CAP-0201-P69XP39-HP39'
