 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa
R0790        116.578    -4.552  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0791        115.884    -4.549  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0803         -1.405    -7.918    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0805         -1.418    -8.327    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0811         84.945    -6.942  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0812         84.955    -6.542  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0822         84.955    -7.332  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0830         89.278   -20.233  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0850          8.167    -8.905   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0851          8.167    -9.601  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0852          8.077    -5.587    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0853          8.077    -5.216    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0891         91.176   -23.142    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0893         99.855   -23.132  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0895        114.522   -19.844  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0930         96.587   -22.374   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0931        108.205   -20.072  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0940         97.448   -22.784  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0941        110.822   -20.601  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0949        113.677    -2.984  270.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R0950         97.048   -22.784  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0951        107.515   -20.072  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0952        102.694   -23.240  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R0990         95.774   -23.108  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R065D         97.448   -23.479   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R06A2        129.634    -7.035    0.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R09A1         85.255   -14.022    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R09A2         84.685   -12.282   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1002        187.722    -5.293  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1006        186.532    -5.293  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1009         84.715    -9.832  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1010         85.255    -9.332    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1020         85.093    -7.849    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1025         85.255    -8.222    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1032         85.255    -8.962  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1033         85.255    -9.702  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1034         85.255   -10.072  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1035         85.255    -8.592  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1037         85.245   -12.142    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R1038         69.242    -5.852  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
