 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa

 Test Fixture Nails     420/420  Selected Drills           11-February-2020 11:11
                        420 Nails,  1606 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$43      176.999   -15.639   4  AA   (B)  #301  LED_IO_4_C       T PIN TP937K.1
$44      177.013   -16.703   3  AA   (B)  #303  LED_IO_2_C       T PIN TP937I.1
$45      175.760   -16.751   3  AA   (B)  #304  LED_IO_1_C       T PIN TP937H.1
$46      175.465   -17.719   4  AA   (B)  #308  LED_IO_6_A       T PIN TP9377.1
$47      176.283   -18.395   4  AA   (B)  #307  LED_IO_5_A       T PIN TP9376.1
$48      175.490   -19.171   3  AA   (B)  #306  LED_IO_5_B       T PIN TP937E.1
$49      174.285   -18.588   3  AA   (B)  #483  PPLED_OUT        T PIN TP9345.1
$50      173.317   -18.068   4  AA   (B)  #298  LED_IO_3_B       T PIN TP937C.1
$51      172.494   -18.811   3  AA   (B)  #297  LED_IO_4_B       T PIN TP937D.1
$52      172.544   -16.662   2  AA   (B)  #296  LED_IO_1_A       T PIN TP9372.1
$53      172.606   -14.320   3  AA   (B)  #335  PPLED_BACK_REG   T PIN TP9371.1
$53      172.365   -15.291   4  AA   (B)  #335  PPLED_BACK_REG   T PIN TP9370.1
$53      174.567   -15.691   3  AA   (B)  #335  PPLED_BACK_REG   T PIN TP9369.1
$54      173.412   -15.327   3  AA   (B)  #294  LED_IO_3_A       T PIN TP9374.1
$55      172.789   -10.500   1  AA   (B)  #313  PPVCC_MAIN_LCD_SW_CONN T PIN TP9360.1
$56      164.839   -11.435   1  AA   (B)  #312  PPVCC_MAIN_LCD_SW T PIN TP9361.1
$57      170.448    -3.466   1  AA   (B)  #745  GPIO_GRAPE_TO_SCORPIUS_TIME_SYNC T PIN TP93EG.1
$58      171.015     1.611   1  AA   (B)  #501  PPBATT_POS_RC    T PIN TP9348.1
$59      164.385    -4.642   1  AA   (B)  #486  PPVBUS_PROT      T PIN TP9341.1
$60      163.643    -2.550   4  AA   (B)  #1204 I2C_SMC_I2CM0_SDA_1V8 T PIN TP93GL.1
$61      162.781    -3.093   3  AA   (B)  #1205 I2C_SMC_I2CM0_SCL_1V8 T PIN TP93GK.1
$62      161.486    -4.134   2  AA   (B)  #492  PPVCENTER        T PIN TP9340.1
$63      159.129    -5.144   1  AA   (B)  #474  BOARD_TEMP6_P    T PIN TP93A9.1
$64      158.990    -8.565   4  AA   (B)  #1227 GPIO_ORION_TO_AOP_IRQ T PIN TP93E5.1
$65      160.003    -8.856   3  AA   (B)  #1000 I2C2_SDA_1V8     T PIN TP93GD.1
$66      159.719    -9.846   4  AA   (B)  #1122 ACE_ORION_TO_CHARGER_OVP_SW_EN_L T PIN TP93R0.1
$67      158.734    -9.543   3  AA   (B)  #999  I2C2_SCL_1V8     T PIN TP93GC.1
$68      157.814    -8.686   4  AA   (B)  #1234 UART_SOC_TO_BELLATRIX2_TX T PIN TP93N8.1
$69      156.863    -8.350   4  AA   (B)  #453  PP1V8_INT_ORION  T PIN TP93E8.1
$70      156.986    -9.373   3  AA   (B)  #1228 ACE_TO_BELLATRIX_ACC_PWR_EN_L T PIN TP93E9.1
$71      155.532   -10.383   3  AA   (B)  #551  PPVBUS_ORION_RVP T PIN TP93E2.1
$72      154.810    -9.673   4  AA   (B)  #452  PP5V2_BELLATRIX2_BOOST_VOUT T PIN TP93E6.1
$73      153.775    -9.866   4  AA   (B)  #995  I2C0_SCL_1V8     T PIN TP93G8.1
$74      153.341    -8.816   3  AA   (B)  #984  GPIO_PMU_TO_SYSTEM_ACTIVE_READY T PIN TP93CC.1
$75      152.765    -9.878   3  AA   (B)  #996  I2C0_SDA_1V8     T PIN TP93G9.1
$76      151.550   -10.200   4  AA   (B)  #1112 SOC_TO_ACE_DFU_STATUS T PIN TP93CA.1
$77      150.600    -9.800   3  AA   (B)  #1243 GPIO_ACE_TO_SMC_IRQ_L T PIN TP93R3.1
$78      152.511   -13.057   1  AA   (B)  #1116 BELLATRIX_TO_ACE_ACC_PWR_PRESENT_L T PIN TP93ED.1
$79      150.090   -12.596   4  AA   (B)  #1110 RESET_ACE_TO_PMU T PIN TP93RV.1
$80      149.000   -12.952   2  AA   (B)  #1118 UART_DEBUG_TO_SOC_TX T PIN TP93D1.1
$81      149.164   -15.712   1  AA   (B)  #224  PPVBUS_USB_EMI   T PIN TP9349.1
$81      200.244    -9.281   2  AA   (B)  #224  PPVBUS_USB_EMI   T PIN TP93EB.1
$82      152.832   -23.123   3  AA   (B)  #460  ATHENA_LDO11_SPARE T PIN TP931B.1
$83      149.234   -22.332   3  AA   (B)  #1106 ACE_SPI_MOSI_R   T PIN TP93R6.1
$84      148.230   -22.316   4  AA   (B)  #1102 ACE_SPI_MISO_R   T PIN TP93R7.1
$85      147.818   -20.883   2  AA   (B)  #1109 ACE_HRESET       T PIN TP93RZ.1
$86      147.906   -19.176   3  AA   (B)  #1096 REAR_CAM_SYNC_ACE T PIN TP9455.1
$87      147.000   -18.100   3  AA   (B)  #1225 USB_SOC_P        T PIN TP93DA.1
$88      146.200   -18.750   4  AA   (B)  #1230 USB_KIS_P        T PIN TP93GS.1
$89      145.200   -18.700   4  AA   (B)  #1231 USB_KIS_N        T PIN TP93GT.1
$90      145.650   -17.800   3  AA   (B)  #1226 USB_SOC_N        T PIN TP93DB.1
$91      144.468   -15.791   3  AA   (B)  #212  PP5V2_ACE_BOOST_OUT T PIN TP93R1.1
$92      143.526   -16.360   4  AA   (B)  #1209 GPIO_SOC_TO_BELLATRIX2_BOOST_EN T PIN TP93E7.1
$93      141.341   -13.430   2  AA   (B)  #470  BOARD_TEMP4_P    T PIN TP93A7.1
$94      139.677   -13.335   3  AA   (B)  #468  BOARD_TEMP3_P    T PIN TP93A6.1
$95      138.407   -14.799   2  AA   (B)  #480  BOARD_TEMP2_P    T PIN TP93A5.1
$96      140.141   -15.009   2  AA   (B)  #216  PP3V3_S2_ACE     T PIN TP9311.1
$97      142.800   -20.150   1  AA   (B)  #1094 FRONT_CAM_SYNC_ACE T PIN TP9451.1
$98      145.394   -21.796   3  AA   (B)  #229  PP3V3_S2_REDRIVER T PIN TP9315.1
$99      144.481   -22.586   3  AA   (B)  #219  PP3V3_ACE_LDO    T PIN TP93R2.1
$100     143.618   -23.416   3  AA   (B)  #1101 ACE_SPI_CS_R_L   T PIN TP93R5.1
$101     141.151   -22.697   1  AA   (B)  #1104 ACE_SPI_CLK_R    T PIN TP93R4.1
$102     138.394   -18.746   1  AA   (B)  #1093 ACE_TO_BOOST_EN  T PIN TP93RW.1
$103     131.946   -11.260   3  AA   (B)  #476  BOARD_TEMP7_P    T PIN TP93B0.1
$104     131.176   -11.915   4  AA   (B)  #302  LED_IO_3_C       T PIN TP937J.1
$105     130.242   -12.279   3  AA   (B)  #299  LED_IO_2_B       T PIN TP937B.1
$106     128.813   -11.450   4  AA   (B)  #300  LED_IO_1_B       T PIN TP937A.1
$107     129.065   -10.382   3  AA   (B)  #293  LED_IO_4_A       T PIN TP9375.1
